probability_goal_success  probability_activity_bad 
5  95.1
10  90.60000000000001
15  84.5
20  80.4
25  73.8
30  73.2
35  67.60000000000001
40  60
45  54.900000000000006
50  50.3
55  44.1
60  42.9
65  33.1
70  33.6
75  22.900000000000002
80  18.8
85  11.700000000000001
90  10.8
95  4.1000000000000005
