probability_goal_success  probability_activity_bad 
5  95.19999999999999
10  91.10000000000001
15  85.2
20  79.80000000000001
25  73.7
30  68.8
35  66
40  62.5
45  55.900000000000006
50  51.5
55  45.2
60  37.8
65  33.900000000000006
70  28.599999999999998
75  20.4
80  16.400000000000002
85  15.4
90  10.100000000000001
95  5.3
